obs_month,neighborhood,signal_type,metric,value,is_imputed,source_id
2015-10-01,marina,observation,observed_individuals,16.0,false,A
2015-10-01,marina,observation,observed_total_units,16.0,false,A
2015-11-01,core,observation,observed_individuals,129.0,false,A
2015-11-01,core,observation,observed_total_units,129.0,false,A
2015-11-01,cortez,observation,observed_individuals,45.0,false,A
2015-11-01,cortez,observation,observed_total_units,45.0,false,A
2015-11-01,east_village,observation,observed_individuals,547.0,false,A
2015-11-01,east_village,observation,observed_total_units,547.0,false,A
2015-11-01,gaslamp,observation,observed_individuals,18.0,false,A
2015-11-01,gaslamp,observation,observed_total_units,18.0,false,A
2015-11-01,marina,observation,observed_individuals,25.0,false,A
2015-11-01,marina,observation,observed_total_units,25.0,false,A
2015-12-01,core,observation,observed_individuals,208.0,false,A
2015-12-01,core,observation,observed_total_units,208.0,false,A
2015-12-01,cortez,observation,observed_individuals,40.0,false,A
2015-12-01,cortez,observation,observed_total_units,40.0,false,A
2015-12-01,east_village,observation,observed_individuals,604.0,false,A
2015-12-01,east_village,observation,observed_total_units,604.0,false,A
2015-12-01,gaslamp,observation,observed_individuals,11.0,false,A
2015-12-01,gaslamp,observation,observed_total_units,11.0,false,A
2015-12-01,marina,observation,observed_individuals,23.0,false,A
2015-12-01,marina,observation,observed_total_units,23.0,false,A
2016-01-01,columbia,observation,observed_individuals,50.0,false,A
2016-01-01,columbia,observation,observed_total_units,50.0,false,A
2016-01-01,core,observation,observed_individuals,147.0,false,A
2016-01-01,core,observation,observed_total_units,147.0,false,A
2016-01-01,cortez,observation,observed_individuals,32.0,false,A
2016-01-01,cortez,observation,observed_total_units,32.0,false,A
2016-01-01,east_village,observation,observed_individuals,390.0,false,A
2016-01-01,east_village,observation,observed_total_units,390.0,false,A
2016-01-01,gaslamp,observation,observed_individuals,24.0,false,A
2016-01-01,gaslamp,observation,observed_total_units,24.0,false,A
2016-01-01,marina,observation,observed_individuals,28.0,false,A
2016-01-01,marina,observation,observed_total_units,28.0,false,A
2016-02-01,columbia,observation,observed_individuals,45.0,false,A
2016-02-01,columbia,observation,observed_total_units,45.0,false,A
2016-02-01,core,observation,observed_individuals,118.0,false,A
2016-02-01,core,observation,observed_total_units,118.0,false,A
2016-02-01,cortez,observation,observed_individuals,47.0,false,A
2016-02-01,cortez,observation,observed_total_units,47.0,false,A
2016-02-01,east_village,observation,observed_individuals,517.0,false,A
2016-02-01,east_village,observation,observed_total_units,517.0,false,A
2016-02-01,gaslamp,observation,observed_individuals,50.0,false,A
