obs_month,geo_block,neighborhood,signal_type,metric,value,is_imputed,source_id
2014-03-01,10100US060730051001002,east_village,observation,observed_total_units,25.0,false,A
2014-03-01,10100US060730051001003,east_village,observation,observed_total_units,5.0,false,A
2014-03-01,10100US060730051001004,east_village,observation,observed_total_units,6.0,false,A
2014-03-01,10100US060730051001005,east_village,observation,observed_total_units,46.0,false,A
2014-03-01,10100US060730051001006,east_village,observation,observed_total_units,13.0,false,A
2014-03-01,10100US060730051001009,east_village,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730051001010,east_village,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730051001011,east_village,observation,observed_total_units,21.0,false,A
2014-03-01,10100US060730051001012,east_village,observation,observed_total_units,9.0,false,A
2014-03-01,10100US060730051001013,east_village,observation,observed_total_units,13.0,false,A
2014-03-01,10100US060730051001014,east_village,observation,observed_total_units,8.0,false,A
2014-03-01,10100US060730051002000,east_village,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730051002001,east_village,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730051002008,east_village,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730051002009,east_village,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730051002010,east_village,observation,observed_total_units,15.0,false,A
2014-03-01,10100US060730051002011,east_village,observation,observed_total_units,30.0,false,A
2014-03-01,10100US060730051002018,east_village,observation,observed_total_units,9.0,false,A
2014-03-01,10100US060730051002019,east_village,observation,observed_total_units,10.0,false,A
2014-03-01,10100US060730051002020,east_village,observation,observed_total_units,5.0,false,A
2014-03-01,10100US060730051002033,east_village,observation,observed_total_units,5.0,false,A
2014-03-01,10100US060730052001018,east_village,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730052001019,east_village,observation,observed_total_units,6.0,false,A
2014-03-01,10100US060730052001024,east_village,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730052001026,east_village,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730052001027,east_village,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730052001028,east_village,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730052001030,east_village,observation,observed_total_units,5.0,false,A
2014-03-01,10100US060730052001031,east_village,observation,observed_total_units,29.0,false,A
2014-03-01,10100US060730052001038,east_village,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730052001043,east_village,observation,observed_total_units,1.0,false,A
2014-03-01,10100US060730052002000,cortez,observation,observed_total_units,5.0,false,A
2014-03-01,10100US060730052002003,core,observation,observed_total_units,4.0,false,A
2014-03-01,10100US060730052002004,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730052002006,core,observation,observed_total_units,3.0,false,A
2014-03-01,10100US060730052002007,core,observation,observed_total_units,2.0,false,A
2014-03-01,10100US060730052002008,core,observation,observed_total_units,5.0,false,A
