obs_date,neighborhood,signal_type,metric,value,source_id
2021-02-07,cortez,activity_proxy,parking_revenue_usd,5.5,J
2021-02-07,east_village,activity_proxy,paid_sessions,25.0,J
2021-02-07,east_village,activity_proxy,parking_meters_reporting,17.0,J
2021-02-07,east_village,activity_proxy,parking_revenue_usd,10.2,J
2021-02-07,gaslamp,activity_proxy,paid_sessions,12.0,J
2021-02-07,gaslamp,activity_proxy,parking_meters_reporting,8.0,J
2021-02-07,gaslamp,activity_proxy,parking_revenue_usd,3.3000000000000003,J
2021-02-07,marina,activity_proxy,paid_sessions,4.0,J
2021-02-07,marina,activity_proxy,parking_meters_reporting,3.0,J
2021-02-07,marina,activity_proxy,parking_revenue_usd,2.5,J
2021-02-08,city_center,activity_proxy,paid_sessions,1427.0,J
2021-02-08,city_center,activity_proxy,parking_meters_reporting,261.0,J
2021-02-08,city_center,activity_proxy,parking_revenue_usd,1633.9300000000003,J
2021-02-08,columbia,activity_proxy,paid_sessions,675.0,J
2021-02-08,columbia,activity_proxy,parking_meters_reporting,97.0,J
2021-02-08,columbia,activity_proxy,parking_revenue_usd,940.3900000000001,J
2021-02-08,cortez,activity_proxy,paid_sessions,1055.0,J
2021-02-08,cortez,activity_proxy,parking_meters_reporting,294.0,J
2021-02-08,cortez,activity_proxy,parking_revenue_usd,1175.17,J
2021-02-08,east_village,activity_proxy,paid_sessions,2381.0,J
2021-02-08,east_village,activity_proxy,parking_meters_reporting,611.0,J
2021-02-08,east_village,activity_proxy,parking_revenue_usd,3687.1500000000005,J
2021-02-08,gaslamp,activity_proxy,paid_sessions,976.0,J
2021-02-08,gaslamp,activity_proxy,parking_meters_reporting,188.0,J
2021-02-08,gaslamp,activity_proxy,parking_revenue_usd,1253.5,J
2021-02-08,marina,activity_proxy,paid_sessions,1140.0,J
